Date,Words
2017-04-23,1305
2017-05-01,1696
2017-05-07,3074
2017-05-14,3578
2017-05-17,4680
2017-05-20,5281
2017-05-21,5761
2017-05-22,6331
2017-05-25,6851
2017-05-27,7365
2017-05-28,7886
2017-05-29,8396
2017-05-30,9023
2017-06-01,10230
2017-06-03,10739
2017-06-04,11271
2017-06-07,11820
2017-06-08,12396
2017-06-10,13442
2017-06-11,13989
2017-06-16,14497
2017-06-17,15051
2017-06-18,15706
2017-06-19,16212
2017-06-24,18044
2017-07-01,18594
2017-07-02,19148
2017-07-03,19673
2017-07-05,20193
2017-07-06,20857
2017-07-07,21387
2017-07-08,21915
2017-07-21,23171
2017-07-23,23699
2017-07-24,24228
2017-07-26,24850
2017-07-29,25360
2017-07-30,25902
2017-08-02,26472
2017-08-19,26937
2017-08-20,27057
2017-08-22,27666
2017-08-24,28208
2017-08-26,28718
2017-08-26,29236
2017-08-26,30034
2017-09-01,30606
2017-09-04,30741
2017-09-06,30933
2017-09-09,31172
2017-09-10,31166
2017-09-13,31339
2017-09-14,31498
2017-09-16,31765
2017-09-17,31921
2017-09-18,32098
2017-09-20,32171
2017-09-21,32626
2017-09-23,32741
2017-09-24,32647
2017-09-25,32593
2017-09-28,32772
2017-09-30,33293
2017-10-03,33477
2017-10-05,33679
2017-10-07,34263
2017-10-08,34885
2017-10-13,34939
2017-10-14,35439
2017-10-15,35917
